VARIABLE,TYPE,NGENES,BETA,BETA_STD,SE,P,FULL_NAME
REACTOME_THE_CITRIC_ACID_TCA...,SET,5,1.2011,0.079863,0.45965,0.0045471,REACTOME_THE_CITRIC_ACID_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT
REACTOME_COMPLEX_I_BIOGENESIS,SET,2,1.8514,0.07796,0.72608,0.0054548,REACTOME_COMPLEX_I_BIOGENESIS
REACTOME_ION_CHANNEL_TRANSPO...,SET,20,0.58309,0.077018,0.23135,0.0059315,REACTOME_ION_CHANNEL_TRANSPORT
REACTOME_RESPIRATORY_ELECTRO...1,SET,3,1.4214,0.073269,0.59316,0.008365,REACTOME_RESPIRATORY_ELECTRON_TRANSPORT
REACTOME_RESPIRATORY_ELECTRO...2,SET,3,1.4214,0.073269,0.59316,0.008365,REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS
REACTOME_HOST_INTERACTIONS_O...,SET,6,0.98989,0.072067,0.42079,0.0094128,REACTOME_HOST_INTERACTIONS_OF_HIV_FACTORS
REACTOME_LONG_TERM_POTENTIAT...,SET,6,0.96401,0.070182,0.41998,0.01095,REACTOME_LONG_TERM_POTENTIATION
REACTOME_STIMULI_SENSING_CHA...,SET,15,0.59291,0.067976,0.26681,0.013236,REACTOME_STIMULI_SENSING_CHANNELS
REACTOME_NUCLEAR_SIGNALING_B...,SET,4,1.1322,0.067362,0.5138,0.01388,REACTOME_NUCLEAR_SIGNALING_BY_ERBB4
REACTOME_GLUTAMATE_NEUROTRAN...,SET,3,1.2161,0.062688,0.59332,0.020318,REACTOME_GLUTAMATE_NEUROTRANSMITTER_RELEASE_CYCLE
REACTOME_POTASSIUM_CHANNELS,SET,14,0.55962,0.062012,0.27608,0.021451,REACTOME_POTASSIUM_CHANNELS
REACTOME_EPIGENETIC_REGULATI...,SET,6,0.83321,0.06066,0.42038,0.023861,REACTOME_EPIGENETIC_REGULATION_OF_GENE_EXPRESSION
REACTOME_NEGATIVE_EPIGENETIC...,SET,6,0.83321,0.06066,0.42038,0.023861,REACTOME_NEGATIVE_EPIGENETIC_REGULATION_OF_RRNA_EXPRESSION
REACTOME_SIGNALING_BY_EGFR,SET,2,1.4396,0.060616,0.72673,0.023929,REACTOME_SIGNALING_BY_EGFR
REACTOME_BUDDING_AND_MATURAT...,SET,2,1.4295,0.060191,0.72698,0.024758,REACTOME_BUDDING_AND_MATURATION_OF_HIV_VIRION
REACTOME_S_PHASE,SET,7,0.76097,0.059812,0.38933,0.025445,REACTOME_S_PHASE
REACTOME_TRNA_MODIFICATION_I...,SET,4,1.0005,0.059527,0.51442,0.026019,REACTOME_TRNA_MODIFICATION_IN_THE_NUCLEUS_AND_CYTOSOL
REACTOME_TRNA_PROCESSING,SET,4,1.0005,0.059527,0.51442,0.026019,REACTOME_TRNA_PROCESSING
